nome_produtora,sk_company_id
Mphotocreative,a274c540a23124d394b6b08940d229bc19b56b5c1cf1961f81dc045a6bb66bb1
Our Time Projects,00fa9c4766e90e3cadac85c13f0c32e31471ffc8bf10f874cb239fb6b371b920
Takami Productions,07e4b1f8e125fc815c23792f8d66cb6f76ce10b28b8bc66e33a403a0f1f44272
Bandai Namco Filmworks,1336acbc7228255ea4481406724ab053de34bd92f159796cd185e858c8052110
Ratpac Entertainment,84567f118b52b14b0ee7f0fcd46c859cafd1da93d9fb385480fb8f85fd5dfce0
Shady Dawn Pictures,e4a41e4b069087eb1241ca4763df33b84b2235bd0936b1f5011af8ba152db106
Cafeína Produções,575088b4a3319d3b7d17103e33513c7f92c8d73879473ed1136f066a593346c3
Cool Take Pictures,391094a0f241f8d0d00c472eb407ec893e4e0b376f1a0371828a74cc2fa18b6e
Leapling Films,7697750045c5b55097993c3da11dc49d6b8e4f91849ebce3dd3d7515596f461b
Sathya Jyothi Films,80998e7f3cb24d179879ed1c7f9852651a174d8666fd4d7690ab58c0ae0e0d05
The Fyzz,6f93e7968843963d7e17580ead38b683ec8e9ac72cca87aeacf544bf64d0f324
My Pictures Studio,d7ee1ffde268960696e3a3becc1bcb4cc66a61e251cb7814220e90dd8ed99012
Gunpowder & Sky,7e2d60df6fad019350e5b119b76c954b87b1859cd7fdd33c33f9ee090416bb2d
Gravitate Entertainment,9fa4081bfd238e542af1d2638971dae5492f17c01eb30e5a1e0a27e202b00833
Sridevi Movies,61aaa2ed7be66ff330bf68e096a494aa88e9d82c82ab365ba9ec28f6435b99f4
Omuro Pictures,825501379cff3d82e8e628a73ddb8de348a1018513d68240a32ac7fcdf1ff1cc
Baswewe Films,325c828ebedb2df291bf0b9a06c9d9a47818c48725426559bb6e5bad05e95e5b
Dykon Films,d8283abe456f43a678ae0ee4fa17e4a3e5a237147a096f5bbbc8cdd67f4f4ee6
Ghost Dog Films,464cf99e87a34d5afcbe88a113d3507c580aba39521e4dd3fac6a24116d5ba60
P.s. 72 Productions,f7c8138353e53d524f5ba46b4fa54f10cb81f14ed60b0a0d218c032e906cb025
Les Improductibles,94589e8d42fadaf509d5553286e91236b1dcdf3864846dab761b2b8d7c0460b2
Star Sands,2b4e0215adcc8e655f2d90ace99aebc9aa1e1c4ba85271981600821fa043b3d7
Produkce Radim Procházka,147a39bec66294d072553e79ee79fb6e4deba6685cab72b334ded79a7f89bcac
Momo Pictures,d4a0f0f6acff7f0636ee8e628ffc1f48c387f8a84f690c3d408ef86066fa555e
El Médano Producciones,5419a23e38d0a28b4ab68ca844e805e65a32dbb529e2a8db1273d995ff3e2f3a
Es Pictures,44b827610212c5a382c5f5a97e8e066c8952b15ef4ff19f7a41d2f5d3577da78
Cabaldana Alchemy,bb25f78388f1ca2c18f3a9ac4dbec6c09b84d21e9759e4e74c174b56affe13ea
Return Over A Chaos,3f2fb87231c0176e082b5655be57a15d5f249d1de27ded01a0652c402525058c
Sky,b72804afefc37b627628ab2543111d726173ef5f9792bb5a148484a5687ddfd4
Paranoi Future Cinema Lab,aef03e31368a1551086863fa2ed3286a631b6eda7ae235954a6372bcb3ce2ee8
Ill Kippers,c2736604edf9e478e257fb7913d7ec577a24234bbab176fc918966bf8cbe1b65
Hello Moment Productions Gmbh,7ed484d9e3ae2029dddbb97eba088bfd402895d86a61c117d2ab17c211c2f703
Kunchacko Boban Productions,31f5c0cc5827e50bef40e4df68f793ce35bdcbc1760002351196a71ebf9ea3d2
Tribespider Film,e9781805edd2de0f514af2bfa895547a5e3b03bcb14bb891a6e4ef787f895bea
Pk7 Creation,de0d873a963d949bd14e1176b9747455501fbf7215da0db6cb809f68eea175b0
Europe Media Nest,010f19074b3b2219984b79155722bc9bcc1f44906682f6a690a34a43ecfabf69
Broke And Bones,d4418cad3465b778da051d8de3c0728a29ee0282ac2fb09f443aa6a90a26c900
Hendley Road Entertainment,48d028611daa762ee5906a1735338334b2660714422df0785155cac95a8fecf0
Quiver Distribution,b533706a78858403b5375bbfc551f34e7498b7fe70d93794068503591051401e
Incendo Productions,f14ab965ef8f846568aa0f526981fc573035e88d3aedf09544cce645007ebff9
Revolution Films,a2e85ecfb19afa58059cd969d6bd0d9bbe9671de12e1aa08bcbbe7d678a05773
Cantina Studio,3acd9171e4d7b592cab629b39f49b664829921b22210ec37431b2ebd18263526
Tv Asahi,c0887ed899651b92fb46947f6bf6652518c1ec9a64653bde92691337e5668053
Moonchildren Films,cc71fa2c702e8e89acf9af22a92c08c0980f6b6db76d072028549260797a366b
Aparte Producciones,2470d28abd29f8cf683a2906842aa659993b28c9ab7c0e459120a47f7dbeeea5
Intrepic Co.,1e71f8107065833ece4114c2e9763d40e991e04bea251a57afd34b1b985d9809
Kafard Films,7e1ee3f92d6e06708e3cd98e4451ff5e4fac17573f3806e841ebc8ef2d090d1a
Amb Entertainment,c46ccc822c1616a29266f71a24247ebeb28e6079266a7f0b1ad0025a39575222
Shaft,60315ad5ec0ea7756e963e5b933dbf90f186e8ecb96ff990c3b9eec14e10c705
Mubi,8216730e774ea65fdb5ffa98c41d0f1643afc13600fd2980af9a8c2d80a52bd7
Europa Tv,4bd729c06a1a0fda0eccc41471d1a85a2ca88dd8cdcbf168cd8b652174aaf4d1
One Race,9ba570950ee841227be907319616785a851179f1326d60439c57097774d9653b
Manglobe,2f530050ae3c5ed002690e6559e437201e35bb77866652ce383797a2a5598c50
